opponent,シェーク,裏,裏,,,,,,,,,,,,,,,,,,,,
game,1,,,,,,,,,,,,,,,,,,,,,,
R,自分,,2,3,1,,2,,,0,2,1,,4,,,1,4,,1,,,
S,相手,1,,,,11,,2,4,,,,2,,5,2,,,3,,,,
Action,,BkP,BtD,FtM,FuS,FtL,BkP,FtM,BtB,Sm,FkM,FuS,FuS,BtB,BtB,FtB,FtS,BtM,BtM,FuS,,,
Score,,0-1,1-1,2-1,3-1,3-2,4-2,4-3,4-4,5-4,6-4,7-4,7-5,8-5,8-6,8-7,9-7,10-7,10-8,11-8,,,
,,,,,,,,,,,,,,,,,,,,,,,
game,2,,,,,,,,,,,,,,,,,,,,,,
R,自分,1,,,,,,2,6,1,1,2,8,3,,2,2,,3,,,,
S,相手,,4,4,5,0,4,,,,,,,,2,,,0,,,,,
Action,,FuS,FsD,BtB,FtD,Sm,BtP,BkP,BtB,FtS,FuS,BkP,BuC,FtM,FtM,BkC,FkP,Sm,FtM,,,,
Score,,1-0,1-1,1-2,1-3,1-4,1-5,2-5,3-5,4-5,5-5,6-5,7-5,8-5,8-6,9-6,10-6,10-7,11-7,,,,
,,,,,,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,,,,,,
R,自分,2,,4,1,,2,1,5,6,,,,4,8,,,2,,,,4,5
S,相手,,3,,,7,,,,,1,2,2,,,2,4,,3,0,10,,
Action,,BkP,BuC,FtM,BuS,BuC,BkP,FtS,FtD,BkP,BkP,FtB,FtM,BuC,BtM,FtM,BtB,BkP,BkP,Sm,BtB,BsB,FtM
Score,,1-0,1-1,2-1,3-1,3-2,4-2,5-2,6-2,7-2,7-3,7-4,7-5,8-5,9-5,9-6,9-7,10-7,10-8,10-9,10-10,11-10,12-10
,,,,,,,,,,,,,,,,,,,,,,,
