date,20240601,,,,,,,,,,,,,,,,,,,,
title,川口市民選手権予選1回戦目,,,,,,,,,,,,,,,,,,,,
place,川口武道センター,35.8216491,139.7118467,,,,,,,,,,,,,,,,,,
opponent,シェーク,裏,裏,,,,,,,,,,,,,,,,,,
game,1,,,,,,,,,,,,,,,,,,,,
R,自分,1,5,2,,,,7,0,3,3,2,,1,,,2,,1,,
S,相手,,,,1,2,2,,,,,,1,,4,3,,6,,,
Action,,FtS,BtB,BkP,BkP,BtP,FtS,FtM,Sm,BtD,BtP,BkP,BuC,FtS,BtM,BkB,BkP,BkP,FtS,,
Score,,1-0,2-0,3-0,3-1,3-2,3-3,4-3,5-3,6-3,7-3,8-3,8-4,9-4,9-5,9-6,10-6,10-7,11-7,,
,,,,,,,,,,,,,,,,,,,,,
game,2,,,,,,,,,,,,,,,,,,,,
R,自分,,2,1,,,2,1,,6,2,1,5,,,1,1,,2,,
S,相手,1,,,2,1,,,4,,,,,1,1,,,5,,,
Action,,BkP,BkP,FuS,FuS,BkP,BkP,FuS,BtB,BkB,BkP,BuS,BkP,S,BkP,BuS,BuS,BkB,BsP,,
Score,,0-1,1-1,2-1,2-2,2-3,3-3,3-4,4-4,5-4,6-4,7-4,8-4,8-5,8-6,9-6,10-6,10-7,11-7,,
,,,,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,,,,
R,自分,,3,2,,1,,1,5,,,,6,1,,,2,,,2,
S,相手,4,,,1,,4,,,2,1,3,,,2,1,,2,2,,3
Action,,BtB,BuC,BkP,BkP,FtS,BtB,BsP,BuC,FtM,FuS,FtM,FsL,FtS,FuT,BkP,BkP,FtM,BkP,BkC,BkC
Score,,0-1,1-1,2-1,2-2,3-2,3-3,4-3,5-3,5-4,5-5,5-6,6-6,7-6,7-7,7-8,8-8,8-9,8-10,9-10,9-11
,,,,,,,,,,,,,,,,,,,,,
game,4,,,,,,,,,,,,,,,,,,,,
R,自分,4,,,1,,2,3,,2,4,,,,,,,,,,
S,相手,,2,2,,1,,,2,,,1,2,1,1,0,4,3,,,
Action,,FtM,FtM,FsM,FtS,BkP,BkP,FtM,FtD,BkP,FuT,FuS,BtP,BkP,BkP,Sm,BtB,FtD,,,
Score,,1-0,1-1,1-2,2-2,3-2,3-3,4-3,4-4,5-4,6-4,6-5,6-6,6-7,6-8,6-9,6-10,6-11,,,
,,,,,,,,,,,,,,,,,,,,,
game,5,,,,,,,,,,,,,,,,,,,,
R,自分,,3,4,,3,3,,2,1,15,,4,,,,,1,,,2
S,相手,4,,,5,,,3,,,,2,,6,8,1,3,,2,1,
Action,,FtM,FsD,BtB,BtB,BkP,BkP,BkP,BkP,FtS,BtB,BkP,BuC,FtM,BtB,BkP,BkP,FuS,FsD,BkP,BkP
Score,,0-1,1-1,2-1,2-2,3-2,4-2,4-3,5-3,6-3,7-3,8-3,9-3,9-4,9-5,9-6,9-7,10-7,10-8,10-9,11-9
,,,,,,,,,,,,,,,,,,,,,
