date,202402017,,,,,,,,,,,,,,,,,,,
title,川口オープン順位別1回戦目,,,,,,,,,,,,,,,,,,,
opponent,シェーク,裏,裏,,,,,,,,,,,,,,,,,
game,1,,,,,,,,,,,,,,,,,,,
R,自分,1,3,,0,5,3,,,7,3,,2,1,1,,6,,,
S,相手,,,5,,,,5,1,,,3,,,,3,,,,
Action,,FtS,BkB,BkB,Sm,BtP,BtP,BtB,BtP,BtM,BtD,BtB,BtP,FtS,FtS,BtP,BtB,,,
Score,,1-0,2-0,2-1,3-1,4-1,5-1,5-2,5-3,6-3,7-3,7-4,8-4,9-4,10-4,10-5,11-5,,,
,,,,,,,,,,,,,,,,,,,,
game,2,,,,,,,,,,,,,,,,,,,
R,自分,2,,,,,2,1,1,,,,,,,5,3,0,,
S,相手,,3,8,2,3,,,,3,5,4,6,3,3,,,,3,
Action,,BtP,BtB,FtD,BuS,BtB,BkP,BuS,BuS,BkT,BtB,BkB,FuT,BtP,BtP,FtM,BkP,Sm,BtM,
Score,,1-0,1-1,1-2,1-3,1-4,2-4,3-4,4-4,4-5,4-6,4-7,4-8,4-9,4-10,5-10,6-10,7-10,7-11,
,,,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,,,
R,自分,,1,2,,7,1,,2,,,,,,,4,2,15,,
S,相手,2,,,3,,,3,,4,6,3,3,2,2,,,,2,5
Action,,FtB,FtS,BtP,BkB,FtM,FtS,BtP,BtP,BtP,BtB,BtM,FtB,FtS,FtM,FkB,FuT,BkP,BtP,BtM
Score,,0-1,1-1,2-1,2-2,3-2,4-2,4-3,5-3,5-4,5-5,5-6,5-7,5-8,5-9,6-9,7-9,8-9,8-10,8-11
,,,,,,,,,,,,,,,,,,,,
game,4,,,,,,,,,,,,,,,,,,,
R,自分,4,2,,1,,2,5,3,4,,,,,,,,,,
S,相手,,,2,,5,,,,,3,2,12,3,3,2,6,3,1,
Action,,BtP,BuC,BtP,BtS,BtB,BtP,BtB,BkP,BkP,BtB,BtP,BtP,BkP,FkB,BtP,FtD,BtP,FtM,
Score,,1-0,2-0,2-1,3-1,3-2,4-2,5-2,6-2,7-2,7-3,7-4,7-5,7-6,7-7,7-8,7-9,7-10,7-11,
