date,202402017,,,,,,,,,,,,,,,,,
title,川口オープン予選2回戦目,,,,,,,,,,,,,,,,,
place,川口芝スポーツセンター,35.8435031,139.6974495,,,,,,,,,,,,,,,,
opponent,シェーク,裏,裏,,,,,,,,,,,,,,,
game,1,,,,,,,,,,,,,,,,,
R,自分,1,1,0,4,4,5,4,6,1,1,,4,,,,,
S,相手,,,,,,,,,,,7,,,,,,
Action,,FtS,FuS,Sm,FuT,BtD,BtP,BtP,BtM,FuS,FtS,FtL,FtT,,,,,
Score,,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0,10-1,11-1,,,,,
,,,,,,,,,,,,,,,,,,
game,2,,,,,,,,,,,,,,,,,
R,自分,6,4,3,1,4,8,1,1,,2,1,3,,,,,
S,相手,,,,,,,,,3,,,,,,,,
Action,,BtD,BuT,BtD,BuS,FuT,BkL,BuS,BuS,BtM,BkP,BuS,BtP,,,,,
Score,,1-0,2-0,3-0,4-0,5-0,6-0,6-1,7-1,8-1,9-1,10-1,11-1,,,,,
,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,
R,自分,,1,6,6,,1,4,0,,,4,4,1,3,,,1,
S,相手,2,,,,0,,,,0,6,,,,,3,3,
Action,,FtB,FuS,FtD,BtB,Sm,FtS,BtD,Sm,Sm,FsL,FuT,BtP,FtS,FtM,FtM,BtM,FuS,
Score,,0-1,1-1,2-1,3-1,3-2,4-2,5-2,6-2,6-3,6-4,7-4,8-4,9-4,10-4,10-5,10-6,11-6,
,,,,,,,,,,,,,,,,,,
