date,20240204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,北区シングルス一般の部順位別1試合目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,赤羽体育館,35.77538889,139.73554,,,,,,,,,,,,,,,,,
opponent,シェーク,裏,裏,,,,,,,,,,,,,,,,,
game,1,,,,,,,,,,,,,,,,,,,
R,自分,8,,9,,,4,1,5,4,10,1,,2,,1,5,,,
S,相手,,3,,4,7,,,,,,,1,,7,,,,,
Action,,FtB,BkB,BuD,BtP,BtB,BuB,FtS,BtP,BtP,BtP,FtS,FuS,FuD,BtB,FtS,BkL,,,
Score,,1-0,1-1,2-1,2-2,2-3,3-3,4-3,5-3,6-3,7-3,8-3,8-4,9-4,9-5,10-5,11-5,,,
,,,,,,,,,,,,,,,,,,,,
game,2,,,,,,,,,,,,,,,,,,,
R,自分,,1,2,,1,3,,2,1,,,,1,,4,,1,9,6
S,相手,4,,,5,,,3,,,6,5,4,,2,,3,,,
Action,,BtB,BuS,BkP,BkB,BuS,BkP,BtB,BkP,BuS,BtB,BtB,BtP,BuS,BtD,BtB,BtB,BuS,FkM,FkB
Score,,0-1,1-1,2-1,2-2,3-2,4-2,4-3,5-3,6-3,6-4,6-5,6-6,7-6,7-7,8-7,8-8,9-8,10-8,11-8
,,,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,,,
R,自分,2,6,1,1,,,1,3,,6,,,2,2,1,,4,,
S,相手,,,,,11,5,,,1,,6,2,,,,6,,,
Action,,FuD,FtB,FtS,FuS,FtM,FtB,FtS,BkP,BkP,BtB,BtB,FtD,BkP,BkD,FuS,BtB,FtM,,
Score,,1-0,2-0,3-0,4-0,4-1,4-2,5-2,6-2,6-3,7-3,7-4,7-5,8-5,9-5,10-5,10-6,11-6,,
,,,,,,,,,,,,,,,,,,,,
