date,20240204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opponent,シェーク,裏,裏,,,,,,,,,,,,,,,,,,,,,,
game,1,,,,,,,,,,,,,,,,,,,,,,,,
R,自分,,2,,1,2,,3,1,,,,,,2,1,,6,4,1,,6,,4,5
S,相手,3,,2,,,3,,,3,3,6,2,3,,,0,,,,4,,6,,
Action,,BuD,BkP,FuS,FuS,BkP,FuD,FtM,FtS,BtP,BtB,BtB,FtB,BkP,BkP,FtS,Sm,BtM,BkP,FtS,FtM,BtB,BtB,BtB,FtM
Score,,0-1,1-1,1-2,2-2,3-2,3-3,4-3,5-3,5-4,5-5,5-6,5-7,5-8,6-8,7-8,7-9,8-9,9-9,10-9,10-10,11-10,11-11,12-11,13-11
,,,,,,,,,,,,,,,,,,,,,,,,,
game,2,,,,,,,,,,,,,,,,,,,,,,,,
R,自分,1,,,,1,1,2,2,1,1,,0,,3,,,1,5,,,,,,
S,相手,,6,7,1,,,,,,,7,,0,,1,3,,,,,,,,
Action,,FuS,BtB,BtB,FuD,FtS,FuS,BkD,BkP,FtS,FtS,BuC,Sm,Sm,FtM,BkD,BtB,FtS,BkP,,,,,,
Score,,1-0,1-1,1-2,1-3,2-3,3-3,4-3,5-3,6-3,7-3,7-4,8-4,8-5,9-5,9-6,9-8,10-8,11-8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,,,,,,,,
R,自分,2,2,,,,2,5,,,4,1,1,4,2,5,1,,,,,,,,
S,相手,,,2,4,5,,,6,3,,,,,,,,,,,,,,,
Action,,BkP,BtD,BtD,BtB,BkB,BtB,FtM,FtB,BkB,FsL,FtS,FsS,BuC,BkD,BuC,FuS,,,,,,,,
Score,,1-0,2-0,2-1,2-2,2-3,3-3,4-3,4-4,4-5,5-5,6-5,7-5,8-5,9-5,10-5,11-5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
