date,20240204,,,,,,,,,,,,,,,,,,,,,,
title,北区シングルス39歳以下の部決勝1回戦,,,,,,,,,,,,,,,,,,,,,,
place,赤羽体育館,35.77538889,139.73554,,,,,,,,,,,,,,,,,,,,
opponent,シェーク,裏,裏,,,,,,,,,,,,,,,,,,,,
game,1,,,,,,,,,,,,,,,,,,,,,,
S,自分,5,1,4,6,,,6,2,1,1,,6,13,1,,,,,,,,
R,相手,,,,,6,2,,,,,5,,,,,,,,,,,
Action,,FtM,FuS,BkB,FtM,BkB,BkB,BtB,BkP,FuS,FuS,BtP,BkB,FtM,FtS,,,,,,,,
Score,,1-0,2-0,3-0,4-0,4-1,4-2,5-2,6-2,7-2,8-2,8-3,9-3,10-3,11-3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
game,2,,,,,,,,,,,,,,,,,,,,,,
R,自分,1,,2,4,9,3,,,3,1,,2,,5,,2,3,,,,,
S,相手,,4,,,,,1,1,,,7,,2,,3,,,,,,,
Action,,FuS,BtB,BkP,BuB,BtP,BkB,FtS,FkS,BuB,FuS,BkB,BuB,BkP,BtM,FtM,BkT,FtM,,,,,
Score,,1-0,1-1,2-1,3-1,4-1,5-1,5-2,5-3,6-3,7-3,7-4,8-4,8-5,9-5,9-6,10-6,11-6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,,,,,,
R,自分,4,,,11,,,,,,,5,1,6,2,,1,,3,,,,
S,相手,,3,4,,13,7,4,2,3,1,,,,,2,,1,,2,,,
Action,,BtB,FtB,BtP,FtM,BtP,BtP,FtM,BkT,BkB,BkP,BkB,BkS,BkB,BkB,FtS,FtS,BkP,BkP,BkB,,,
Score,,1-0,1-1,1-2,2-2,2-3,2-4,2-5,2-6,2-7,2-8,3-8,4-8,5-8,6-8,6-9,7-9,7-10,8-10,8-11,,,
,,,,,,,,,,,,,,,,,,,,,,,
game,4,,,,,,,,,,,,,,,,,,,,,,
S,自分,,,,,1,1,,,3,3,,12,1,,,,5,1,4,4,,
R,相手,6,2,1,3,,,1,7,,,6,,,4,5,1,,,,,10,3
Action,,FtP,FtB,FtD,BtB,FuS,FuS,FuS,BkB,BuB,BtD,BkB,BtP,FuS,BtP,BtB,BkP,BkC,BuS,BkB,BkP,BtB,BtB
Score,,0-1,0-2,0-3,0-4,1-4,2-4,2-5,2-6,3-6,4-6,4-7,5-7,6-7,6-8,6-9,6-10,7-10,8-10,9-10,10-10,10-11,10-12
,,,,,,,,,,,,,,,,,,,,,,,
game,5,,,,,,,,,,,,,,,,,,,,,,
R,自分,,10,3,,2,,3,1,,2,5,,,,,,6,,1,,,
S,相手,9,,,4,,7,,,3,,,6,5,5,2,8,,1,,8,,
Action,,BkB,BkB,BkP,BkB,BkP,FtM,BkP,FuS,BtB,BkP,BtM,BkP,BtB,FtM,FtM,BtP,FtM,BkT,FtS,FtM,,
Score,,0-1,1-1,2-1,2-2,3-2,3-3,4-3,5-3,5-4,6-4,7-4,7-5,7-6,7-7,7-8,7-9,8-9,8-10,9-10,9-11,,
,,,,,,,,,,,,,,,,,,,,,,,
