date,20240407,,,,,,,,,,,,,,,,,,,,
title,北区オープン団体戦予選2回戦目シングルス,,,,,,,,,,,,,,,,,,,,
place,滝野川体育館,35.745497,139.7425881,,,,,,,,,,,,,,,,,,
opponent,ペン,裏,-,,,,,,,,,,,,,,,,,,
game,1,,,,,,,,,,,,,,,,,,,,
S,自分,,1,0,,3,,2,,,3,2,0,5,,0,,3,11,,
R,相手,2,,,3,,2,,5,10,,,,,6,,3,,,,
Action,,FtM,FuS,Sm,BtP,BtP,BtD,BkP,BtB,BkP,BtP,BtP,Sm,FtM,FtM,Sm,BtT,BtP,BtP,,
Score,,0-1,1-1,2-1,2-2,3-2,3-3,4-3,4-4,4-5,5-5,6-5,7-5,8-5,8-6,9-6,9-7,10-7,11-7,,
,,,,,,,,,,,,,,,,,,,,,
game,2,,,,,,,,,,,,,,,,,,,,
R,自分,,,5,5,,12,,,,,11,,,,1,,,,,
S,相手,3,1,,,5,,4,1,1,1,,4,3,3,,2,,,,
Action,,BkB,BkT,BtP,FtM,BkB,BtP,BkP,BkP,BtP,FsD,BtP,BkB,BkP,BkP,BuS,FtM,,,,
Score,,0-1,0-2,1-2,2-2,2-3,3-3,3-4,3-5,3-6,3-7,4-7,4-8,4-9,4-10,5-10,5-11,,,,
,,,,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,,,,
S,自分,,3,,,1,,2,,1,,,2,,,2,,1,3,,
R,相手,6,,1,3,,2,,5,,0,3,,0,1,,1,,,3,
Action,,FtM,BuB,BkP,BkP,FuS,FtM,BkP,BuC,FuS,Sm,BtD,BsP,Sm,FtS,BtP,BkP,FuS,FtP,BkB,
Score,,0-1,1-1,1-2,1-3,2-3,2-4,3-4,3-5,4-5,4-6,4-7,5-7,5-8,5-9,6-9,6-10,7-10,8-10,8-11,
,,,,,,,,,,,,,,,,,,,,,
game,4,,,,,,,,,,,,,,,,,,,,
R,自分,0,,,,,,1,5,,,3,3,2,,1,,6,2,,
S,相手,,3,0,2,1,1,,,5,3,,,,3,,2,,,2,4
Action,,Sm,BkP,Sm,FtS,FuS,FuS,FtS,FtM,BuC,BkP,FtM,FtB,BsP,BuC,FuS,FtS,FtM,BsP,FtB,BkC
Score,,1-0,1-1,1-2,1-3,1-4,1-5,2-5,3-5,3-6,3-7,4-7,5-7,6-7,6-8,7-8,7-9,8-9,9-9,9-10,9-11
,,,,,,,,,,,,,,,,,,,,,
